"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.195960436E2,4.544896192E1,-7.376925398E1,2.418058103E1,2.695777893E1,9.176781464E1,3.629321337E0,1.689015150E0
1.205960766E2,4.544895473E1,-7.376890933E1,2.418996645E1,2.679465103E1,9.162602234E1,3.654169321E0,1.692054152E0
1.215960656E2,4.544894988E1,-7.376856753E1,2.404592171E1,2.663122368E1,9.151218414E1,3.674971819E0,1.695801139E0
1.225961656E2,4.544894661E1,-7.376822807E1,2.426685834E1,2.647160149E1,9.164573669E1,3.674133301E0,1.696437478E0
1.235962456E2,4.544894107E1,-7.376789379E1,2.445549848E1,2.632691383E1,9.163103485E1,3.850971937E0,1.700552702E0
1.245961566E2,4.544893530E1,-7.376756187E1,2.456257014E1,2.615374947E1,9.152581787E1,3.632399559E0,1.705688357E0
1.255961426E2,4.544892838E1,-7.376723620E1,2.479573203E1,2.598677444E1,9.169808960E1,3.640254021E0,1.693844318E0
1.265961616E2,4.544892173E1,-7.376690890E1,2.489896273E1,2.584615707E1,9.161527252E1,3.640388966E0,1.685309410E0
1.275961726E2,4.544891503E1,-7.376658172E1,2.508822000E1,2.565255165E1,9.166577911E1,3.635144234E0,3.000000000E0
1.285962536E2,4.544890921E1,-7.376625700E1,2.561787007E1,2.551246643E1,9.163228607E1,3.619683981E0,1.586333871E0
1.295962626E2,4.544890431E1,-7.376592950E1,2.580020214E1,2.544491196E1,9.159823608E1,3.624386072E0,1.546292901E0
1.305962146E2,4.544889919E1,-7.376560281E1,2.584662167E1,2.543311501E1,9.156140137E1,3.646172047E0,1.525321484E0
1.315962226E2,4.544889187E1,-7.376528009E1,2.587530109E1,2.559249115E1,9.147043610E1,3.633014679E0,1.516603112E0
1.325962716E2,4.544888482E1,-7.376495178E1,2.589680862E1,2.573971176E1,9.153128052E1,3.622921944E0,1.514112115E0
1.335962546E2,4.544887718E1,-7.376462498E1,2.608071079E1,2.566711044E1,9.153578949E1,3.681368828E0,1.503833532E0
1.345962756E2,4.544886909E1,-7.376429886E1,2.624484154E1,2.542407799E1,9.163920593E1,3.828730345E0,1.497695446E0
1.355962826E2,4.544886150E1,-7.376397752E1,2.629083282E1,2.504490662E1,9.167141724E1,3.872994661E0,1.493969917E0
1.365962856E2,4.544885398E1,-7.376366258E1,2.633508285E1,2.462866974E1,9.172676086E1,3.873559713E0,1.491119742E0
1.375963206E2,4.544884656E1,-7.376335329E1,2.639231427E1,2.417321777E1,9.180108643E1,3.811288834E0,1.492951393E0
1.385963286E2,4.544883788E1,-7.376304984E1,2.639660286E1,2.380033875E1,9.188552094E1,3.866500378E0,1.493542552E0
1.395963416E2,4.544883054E1,-7.376275119E1,2.650747366E1,2.357678795E1,9.172901917E1,3.869873524E0,1.494538903E0
1.405963556E2,4.544882501E1,-7.376245528E1,2.651076854E1,2.337236214E1,9.164924622E1,3.887073994E0,1.498811841E0
1.415963746E2,4.544881972E1,-7.376215873E1,2.657093363E1,2.353015900E1,9.167596436E1,3.704565048E0,1.500090003E0
1.425964406E2,4.544881303E1,-7.376185851E1,2.643045409E1,2.369473839E1,9.164277649E1,3.811483860E0,1.503718019E0
1.435964086E2,4.544880671E1,-7.376155361E1,2.646329664E1,2.392386055E1,9.168943024E1,3.806855679E0,1.504312158E0
1.445964306E2,4.544880103E1,-7.376124622E1,2.656988933E1,2.403505898E1,9.148550415E1,3.919477701E0,1.507493854E0
1.455964266E2,4.544879616E1,-7.376093678E1,2.677404155E1,2.415289879E1,9.153056335E1,3.797639370E0,1.511279941E0
1.465964516E2,4.544879007E1,-7.376062861E1,2.682218481E1,2.413945961E1,9.144332123E1,3.815929413E0,1.511067867E0
1.475964566E2,4.544878490E1,-7.376032019E1,2.702270165E1,2.413154602E1,9.141558838E1,3.889595985E0,1.512179971E0
1.485964626E2,4.544877965E1,-7.376001249E1,2.716512976E1,2.423451614E1,9.146482086E1,3.856038570E0,1.517220497E0
1.495965096E2,4.544877299E1,-7.375970244E1,2.699808921E1,2.458480644E1,9.157655334E1,3.878890038E0,1.517364740E0
1.505964916E2,4.544876577E1,-7.375938727E1,2.691137856E1,2.469799423E1,9.155194092E1,3.622994423E0,1.519281983E0
1.515965086E2,4.544876025E1,-7.375906825E1,2.680696134E1,2.483750534E1,9.164880371E1,3.794109821E0,1.519598365E0
1.525965256E2,4.544875432E1,-7.375874709E1,2.668722498E1,2.499017334E1,9.174507904E1,3.839632511E0,1.518078685E0
1.535965386E2,4.544874740E1,-7.375842528E1,2.677965180E1,2.506151199E1,9.167330933E1,3.753915787E0,1.520395637E0
1.545965556E2,4.544874023E1,-7.375810282E1,2.681519717E1,2.502105904E1,9.157852936E1,3.765463352E0,1.520427227E0
1.555965856E2,4.544873342E1,-7.375778191E1,2.688979178E1,2.493284225E1,9.154931641E1,3.605453968E0,1.523099065E0
1.565965916E2,4.544872646E1,-7.375746506E1,2.688841800E1,2.463659668E1,9.169635010E1,3.799205303E0,1.527019620E0
