"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.860784551E3,-3.054326226E-4,-1.985311974E-3,0.000000000E0
1.860834551E3,9.162978968E-4,-4.276056774E-3,0.000000000E0
1.860884551E3,-3.054326226E-4,-7.635815418E-4,-1.221730490E-3
1.860934551E3,3.359758761E-3,4.581489484E-4,-1.527163113E-4
1.860984551E3,2.138028387E-3,-7.635815418E-4,1.221730490E-3
1.861034551E3,-2.748893574E-3,-9.162978968E-4,1.221730490E-3
1.861084551E3,-3.970623948E-3,3.054326226E-4,0.000000000E0
1.861134551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.861184551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.861234551E3,2.138028387E-3,3.054326226E-4,0.000000000E0
1.861284551E3,9.162978968E-4,1.527163084E-3,0.000000000E0
1.861334551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.861384551E3,9.162978968E-4,1.527163084E-3,0.000000000E0
1.861434551E3,-3.054326226E-4,-2.138028387E-3,-1.221730490E-3
1.861484551E3,9.162978968E-4,-9.162978968E-4,-1.221730490E-3
1.861534551E3,-1.527163084E-3,-9.162978968E-4,1.221730490E-3
1.861584551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.861634551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.861684551E3,-3.054326226E-4,1.527163084E-3,0.000000000E0
1.861734551E3,9.162978968E-4,3.054326226E-4,1.221730490E-3
1.861784551E3,-1.527163084E-3,-9.162978968E-4,-1.221730490E-3
1.861834551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.861884551E3,9.162978968E-4,-2.138028387E-3,-1.221730490E-3
1.861934551E3,9.162978968E-4,3.054326226E-4,0.000000000E0
1.861984551E3,9.162978968E-4,3.054326226E-4,-1.221730490E-3
1.862034551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.862084551E3,-3.054326226E-4,3.054326226E-4,-1.221730490E-3
1.862134551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.862184551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.862234551E3,-1.527163084E-3,-9.162978968E-4,1.221730490E-3
1.862284551E3,9.162978968E-4,-9.162978968E-4,0.000000000E0
1.862334551E3,9.162978968E-4,-9.162978968E-4,0.000000000E0
1.862384551E3,9.162978968E-4,3.054326226E-4,1.221730490E-3
1.862434551E3,-1.527163084E-3,3.054326226E-4,0.000000000E0
1.862484551E3,3.359758761E-3,1.527163084E-3,1.069014193E-3
1.862534551E3,9.162978968E-4,-2.138028387E-3,0.000000000E0
1.862584551E3,2.138028387E-3,-9.162978968E-4,0.000000000E0
1.862634551E3,9.162978968E-4,-9.162978968E-4,0.000000000E0
1.862684551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.862734551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.862784551E3,-1.527163084E-3,4.581489484E-4,-1.069014193E-3
1.862834551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.862884551E3,-3.054326226E-4,-1.832595794E-3,-1.069014193E-3
1.862934551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.862984551E3,9.162978968E-4,-7.635815418E-4,1.527163113E-4
1.863034551E3,9.162978968E-4,-3.207042580E-3,1.527163113E-4
1.863084551E3,9.162978968E-4,1.679879380E-3,1.374446787E-3
1.863134551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.863184551E3,-1.527163084E-3,4.581489484E-4,1.527163113E-4
1.863234551E3,9.162978968E-4,-7.635815418E-4,-1.069014193E-3
1.863284551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.863334551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.863384551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.863434551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.863484551E3,9.162978968E-4,4.581489484E-4,1.374446787E-3
1.863534551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.863584551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.863634551E3,2.138028387E-3,-7.635815418E-4,-0.000000000E0
1.863684551E3,9.162978968E-4,1.679879380E-3,-1.069014193E-3
1.863734551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.863784551E3,9.162978968E-4,-7.635815418E-4,-1.069014193E-3
1.863834551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.863884551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.863934551E3,-3.054326226E-4,4.581489484E-4,-1.069014193E-3
1.863984551E3,-3.054326226E-4,4.581489484E-4,-1.069014193E-3
1.864034551E3,9.162978968E-4,-1.985311974E-3,1.527163113E-4
1.864084551E3,-1.527163084E-3,-7.635815418E-4,-1.069014193E-3
1.864134551E3,9.162978968E-4,-1.985311974E-3,1.527163113E-4
1.864184551E3,-4.581489484E-4,4.581489484E-4,0.000000000E0
