Latitude (°),Longitude (°)
45.4448044,-73.7516621
45.4446229,-73.7529361
45.4445485,-73.7534833
45.4445316,-73.7536979
45.4445448,-73.7538736
45.4446097,-73.7542907
45.4446962,-73.7548781
45.4448487,-73.7559322
45.4448713,-73.7560636
45.4451404,-73.7579023
45.4451977,-73.7583515
45.4451921,-73.7584441
45.4451545,-73.7584762
45.4450811,-73.7584682
45.4437346,-73.7581115
45.4430938,-73.7579398
45.4428746,-73.7578701
45.4428069,-73.7578687
45.4427655,-73.757909
45.44274,-73.7579948
45.4427109,-73.7587485
45.4426817,-73.7588155
45.4425961,-73.7588679
45.4424879,-73.7588464
45.4420635,-73.7586975
45.4420155,-73.7586922
45.4419779,-73.7587244
45.4419675,-73.7588316
45.4419402,-73.7595666
45.4418405,-73.7612805
45.4418132,-73.7613663
45.4417323,-73.7614186
45.4416212,-73.7613878
45.4404526,-73.7610203
45.440413,-73.7610257
45.4403876,-73.7610592
45.440382,-73.761141
45.4404074,-73.7612269
45.440477,-73.7614884
45.4405561,-73.7619215
45.4406276,-73.762348
45.4406727,-73.7627195
45.4406831,-73.7630199
45.4406822,-73.7632734
45.4406511,-73.7635175
45.4405871,-73.7637267
45.4404855,-73.7640003
45.4404422,-73.7641263
45.440398,-73.7643087
45.4403679,-73.7644978
45.4403481,-73.7647473
45.4403368,-73.7649954
45.4403218,-73.7654138
45.4402992,-73.7658268
45.4402738,-73.7664907
45.4402531,-73.7668649
45.4402455,-73.7670915
45.4402493,-73.7672471
45.4403039,-73.7674844
45.4404497,-73.7678506
45.4405824,-73.7681698
45.4406718,-73.7683803
45.4408713,-73.7688376
45.4409494,-73.769016
45.4409776,-73.7691166
45.4410124,-73.7693338
45.4410303,-73.7695725
45.4410247,-73.7697013
45.4410059,-73.7698716
45.4409287,-73.7704349
45.4408365,-73.7712664
45.4407951,-73.7714769
45.4407508,-73.7717049
45.4407141,-73.7718806
45.4407113,-73.772059
45.440732,-73.7722346
45.4408365,-73.7725216
45.4409644,-73.7728542
45.4413427,-73.7738158
45.4414556,-73.7740746
45.4415206,-73.7741766
45.4416485,-73.7743616
45.4417709,-73.7744676
45.4418593,-73.7745252
45.4419308,-73.7745628
45.4419976,-73.7745923
45.442359,-73.7746875
45.442614,-73.7747653
45.4427909,-73.774835
45.4429066,-73.7748967
45.4430223,-73.7749933
45.443139,-73.7751247
45.4433121,-73.7753581
45.4435201,-73.775633
45.4437638,-73.7759736
45.443984,-73.7762834
45.4442512,-73.7766509
45.4443904,-73.7768413
45.4445401,-73.7770653
45.4447819,-73.7774837
45.4453154,-73.7784265
45.4455751,-73.7788409
45.4457764,-73.7791614
45.4462459,-73.7801109
45.4466006,-73.7809049
45.4467408,-73.7813166
45.446833,-73.7816666
45.4468641,-73.7818799
45.446944,-73.7824847
45.4469949,-73.7827449
45.4471285,-73.7832076
45.4472621,-73.7836528
45.4474248,-73.7841302
45.4475039,-73.7842939
45.4476036,-73.7844923
45.4476497,-73.7846063
45.4478586,-73.7853761
45.4480082,-73.7859689
45.4481023,-73.7864074
45.4481117,-73.7864933
45.4481079,-73.786795
45.4480938,-73.7868621
45.4479592,-73.7872792
45.4479244,-73.7874226
45.4479131,-73.7875849
45.4479724,-73.7879926
45.4480293,-73.7882702
45.4480825,-73.7885505
45.4481709,-73.7889743
45.4482387,-73.7893136
45.4482773,-73.7895671
45.4482791,-73.7898635
45.448297,-73.790125
45.4483384,-73.7903476
45.4483713,-73.7905421
45.4483648,-73.7907794
45.4483243,-73.7914151
45.448313,-73.7919596
45.4483271,-73.7925658
45.4483563,-73.7931746
45.4483798,-73.7934952
45.4483695,-73.7936467
45.4483384,-73.7938157
45.448249,-73.7941161
45.4481474,-73.7943146
45.4479291,-73.794733
45.4478708,-73.7949275
45.4478162,-73.7952601
45.4477701,-73.7955538
