"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.819651081E0,8.015955985E-2,-1.064806059E-1,9.767501831E0
7.869651081E0,5.563312769E-2,-1.351944804E-1,9.772287369E0
7.919651081E0,7.537391037E-2,-9.212367237E-2,9.743574142E0
7.969651081E0,8.015955985E-2,-1.016949639E-1,9.786644936E0
8.019651081E0,7.477571070E-2,-1.112662554E-1,9.753145218E0
8.069651081E0,7.058826834E-2,-1.016949639E-1,9.767501831E0
8.119651081E0,6.041877344E-2,-1.064806059E-1,9.757930756E0
8.169651081E0,5.623133108E-2,-1.160518974E-1,9.777072906E0
8.219651081E0,8.015955985E-2,-1.112662554E-1,9.781859398E0
8.269651081E0,8.434699476E-2,-1.208375469E-1,9.762716293E0
8.319651081E0,7.058826834E-2,-1.208375469E-1,9.781859398E0
8.369651081E0,7.956135273E-2,-1.208375469E-1,9.753145218E0
8.419651081E0,6.999006122E-2,-1.256231815E-1,9.757930756E0
8.469651081E0,6.999006122E-2,-1.208375469E-1,9.767501831E0
8.519651081E0,7.058826834E-2,-1.064806059E-1,9.777072906E0
8.569651081E0,7.477571070E-2,-1.160518974E-1,9.772287369E0
8.619651081E0,7.477571070E-2,-1.208375469E-1,9.757930756E0
8.669651081E0,7.477571070E-2,-1.016949639E-1,9.757930756E0
8.719651081E0,7.058826834E-2,-9.690931439E-2,9.762716293E0
8.769651081E0,6.101697683E-2,-1.064806059E-1,9.777072906E0
8.819651081E0,6.520441920E-2,-1.064806059E-1,9.748359680E0
8.869651081E0,7.537391037E-2,-1.160518974E-1,9.777072906E0
8.919651081E0,8.434699476E-2,-1.160518974E-1,9.757930756E0
8.969651081E0,7.477571070E-2,-1.351944804E-1,9.772287369E0
9.019651081E0,6.999006122E-2,-1.208375469E-1,9.772287369E0
9.069651081E0,7.477571070E-2,-1.112662554E-1,9.753145218E0
9.119651081E0,8.015955985E-2,-9.690931439E-2,9.767501831E0
9.169651081E0,8.015955985E-2,-1.016949639E-1,9.762716293E0
9.219651081E0,7.956135273E-2,-1.208375469E-1,9.767501831E0
9.269651081E0,7.477571070E-2,-1.208375469E-1,9.753145218E0
9.319651081E0,7.956135273E-2,-1.304088384E-1,9.762716293E0
9.369651081E0,7.477571070E-2,-1.160518974E-1,9.757930756E0
9.419651081E0,6.999006122E-2,-1.256231815E-1,9.757930756E0
9.469651081E0,7.956135273E-2,-1.118644550E-1,9.777072906E0
9.519651081E0,6.999006122E-2,-1.064806059E-1,9.757930756E0
9.569651081E0,8.973085135E-2,-1.112662554E-1,9.767501831E0
9.619651081E0,7.956135273E-2,-1.256231815E-1,9.767501831E0
9.669651081E0,7.537391037E-2,-1.064806059E-1,9.781859398E0
9.719651081E0,7.537391037E-2,-1.112662554E-1,9.772287369E0
9.769651081E0,7.537391037E-2,-9.212367237E-2,9.753145218E0
9.819651081E0,6.520441920E-2,-1.064806059E-1,9.762716293E0
9.869651081E0,6.999006122E-2,-1.160518974E-1,9.772287369E0
9.919651081E0,6.999006122E-2,-1.304088384E-1,9.762716293E0
9.969651081E0,7.956135273E-2,-1.160518974E-1,9.772287369E0
1.001965108E1,6.520441920E-2,-1.064806059E-1,9.762716293E0
1.006965108E1,8.494520187E-2,-1.112662554E-1,9.772287369E0
1.011965108E1,7.956135273E-2,-1.208375469E-1,9.767501831E0
1.016965108E1,8.434699476E-2,-1.208375469E-1,9.772287369E0
1.021965108E1,7.956135273E-2,-1.112662554E-1,9.762716293E0
1.026965108E1,6.520441920E-2,-1.208375469E-1,9.767501831E0
1.031965108E1,7.477571070E-2,-1.064806059E-1,9.767501831E0
1.036965108E1,8.494520187E-2,-1.262213886E-1,9.781859398E0
1.041965108E1,8.434699476E-2,-1.256231815E-1,9.762716293E0
1.046965108E1,6.520441920E-2,-1.112662554E-1,9.762716293E0
1.051965108E1,7.537391037E-2,-1.160518974E-1,9.772287369E0
1.056965108E1,6.999006122E-2,-1.208375469E-1,9.772287369E0
1.061965108E1,7.058826834E-2,-1.064806059E-1,9.767501831E0
1.066965108E1,7.956135273E-2,-1.256231815E-1,9.767501831E0
1.071965108E1,9.870393574E-2,-1.214357466E-1,9.757930756E0
1.076965108E1,8.494520187E-2,-1.214357466E-1,9.781859398E0
1.081965108E1,8.494520187E-2,-1.208375469E-1,9.777072906E0
1.086965108E1,6.580262631E-2,-1.064806059E-1,9.757930756E0
1.091965108E1,6.999006122E-2,-1.160518974E-1,9.767501831E0
1.096965108E1,6.041877344E-2,-1.256231815E-1,9.743574142E0
1.101965108E1,7.477571070E-2,-1.208375469E-1,9.767501831E0
1.106965108E1,6.999006122E-2,-1.208375469E-1,9.777072906E0
1.111965108E1,7.477571070E-2,-1.112662554E-1,9.762716293E0
1.116965108E1,7.537391037E-2,-1.160518974E-1,9.772287369E0
1.121965108E1,7.537391037E-2,-1.016949639E-1,9.767501831E0
1.126965108E1,9.391828626E-2,-1.118644550E-1,9.767501831E0
1.131965108E1,7.477571070E-2,-1.112662554E-1,9.767501831E0
1.136965108E1,8.913264424E-2,-1.166501045E-1,9.767501831E0
1.141965108E1,6.520441920E-2,-1.208375469E-1,9.762716293E0
1.146965108E1,6.520441920E-2,-1.208375469E-1,9.762716293E0
1.151965108E1,7.537391037E-2,-1.208375469E-1,9.781859398E0
1.156965108E1,6.101697683E-2,-1.112662554E-1,9.786644936E0
1.161965108E1,6.101697683E-2,-1.112662554E-1,9.791430473E0
1.166965108E1,6.580262631E-2,-1.016949639E-1,9.757930756E0
1.171965108E1,7.058826834E-2,-1.112662554E-1,9.791430473E0
1.176965108E1,6.999006122E-2,-1.256231815E-1,9.767501831E0
1.181965108E1,6.580262631E-2,-1.160518974E-1,9.781859398E0
1.186965108E1,7.058826834E-2,-1.160518974E-1,9.786644936E0
1.191965108E1,8.434699476E-2,-1.160518974E-1,9.743574142E0
1.196965108E1,8.434699476E-2,-1.160518974E-1,9.757930756E0
1.201965108E1,7.956135273E-2,-1.208375469E-1,9.762716293E0
1.206965108E1,6.999006122E-2,-1.256231815E-1,9.767501831E0
1.211965108E1,6.999006122E-2,-1.112662554E-1,9.753145218E0
1.216965108E1,6.999006122E-2,-1.160518974E-1,9.757930756E0
1.221965108E1,7.956135273E-2,-1.262213886E-1,9.781859398E0
1.226965108E1,6.041877344E-2,-1.304088384E-1,9.767501831E0
1.231965108E1,6.999006122E-2,-1.160518974E-1,9.748359680E0
1.236965108E1,7.956135273E-2,-1.208375469E-1,9.753145218E0
1.241965108E1,7.477571070E-2,-1.064806059E-1,9.757930756E0
1.246965108E1,6.999006122E-2,-1.208375469E-1,9.767501831E0
1.251965108E1,6.041877344E-2,-1.208375469E-1,9.777072906E0
1.256965108E1,6.999006122E-2,-1.160518974E-1,9.777072906E0
1.261965108E1,8.973085135E-2,-1.070788130E-1,9.772287369E0
1.266965108E1,6.520441920E-2,-1.016949639E-1,9.757930756E0
1.271965108E1,8.015955985E-2,-1.016949639E-1,9.757930756E0
1.276965108E1,7.477571070E-2,-1.112662554E-1,9.772287369E0
1.281965108E1,7.956135273E-2,-1.160518974E-1,9.748359680E0
1.286965108E1,8.015955985E-2,-1.166501045E-1,9.791430473E0
1.291965108E1,8.434699476E-2,-1.160518974E-1,9.762716293E0
1.296965108E1,7.477571070E-2,-1.166501045E-1,9.777072906E0
1.301965108E1,7.477571070E-2,-1.208375469E-1,9.753145218E0
1.306965108E1,7.537391037E-2,-1.016949639E-1,9.781859398E0
1.311965108E1,7.477571070E-2,-1.304088384E-1,9.777072906E0
1.316965108E1,7.058826834E-2,-1.016949639E-1,9.772287369E0
1.321965108E1,8.913264424E-2,-1.118644550E-1,9.748359680E0
1.326965108E1,7.058826834E-2,-1.064806059E-1,9.777072906E0
1.331965108E1,6.999006122E-2,-1.160518974E-1,9.762716293E0
1.336965108E1,7.477571070E-2,-1.208375469E-1,9.757930756E0
1.341965108E1,7.058826834E-2,-1.112662554E-1,9.767501831E0
1.346965108E1,7.537391037E-2,-1.016949639E-1,9.777072906E0
1.351965108E1,6.999006122E-2,-1.256231815E-1,9.767501831E0
1.356965108E1,7.956135273E-2,-1.160518974E-1,9.767501831E0
1.361965108E1,7.477571070E-2,-1.064806059E-1,9.762716293E0
1.366965108E1,8.015955985E-2,-1.064806059E-1,9.767501831E0
1.371965108E1,6.999006122E-2,-1.160518974E-1,9.757930756E0
1.376965108E1,6.520441920E-2,-1.112662554E-1,9.753145218E0
1.381965108E1,6.999006122E-2,-1.256231815E-1,9.772287369E0
1.386965108E1,6.999006122E-2,-1.208375469E-1,9.757930756E0
1.391965108E1,6.520441920E-2,-1.160518974E-1,9.767501831E0
1.396965108E1,7.058826834E-2,-1.160518974E-1,9.781859398E0
1.401965108E1,6.999006122E-2,-1.160518974E-1,9.762716293E0
1.406965108E1,8.434699476E-2,-1.310070455E-1,9.767501831E0
1.411965108E1,7.956135273E-2,-1.112662554E-1,9.748359680E0
1.416965108E1,7.956135273E-2,-1.208375469E-1,9.767501831E0
1.421965108E1,6.999006122E-2,-1.256231815E-1,9.772287369E0
1.426965108E1,7.956135273E-2,-1.214357466E-1,9.781859398E0
1.431965108E1,7.477571070E-2,-1.160518974E-1,9.767501831E0
1.436965108E1,7.058826834E-2,-9.212367237E-2,9.777072906E0
1.441965108E1,7.537391037E-2,-1.112662554E-1,9.781859398E0
1.446965108E1,6.999006122E-2,-1.208375469E-1,9.772287369E0
1.451965108E1,6.041877344E-2,-1.256231815E-1,9.762716293E0
1.456965108E1,6.999006122E-2,-1.160518974E-1,9.762716293E0
1.461965108E1,7.956135273E-2,-1.064806059E-1,9.757930756E0
1.466965108E1,7.058826834E-2,-1.016949639E-1,9.777072906E0
1.471965108E1,7.537391037E-2,-1.064806059E-1,9.772287369E0
1.476965108E1,7.477571070E-2,-1.112662554E-1,9.762716293E0
1.481965108E1,6.999006122E-2,-1.112662554E-1,9.767501831E0
1.486965108E1,9.451649338E-2,-1.070788130E-1,9.772287369E0
1.491965108E1,7.956135273E-2,-1.064806059E-1,9.753145218E0
1.496965108E1,7.477571070E-2,-1.016949639E-1,9.757930756E0
1.501965108E1,6.999006122E-2,-1.064806059E-1,9.767501831E0
1.506965108E1,6.999006122E-2,-1.208375469E-1,9.753145218E0
1.511965108E1,7.956135273E-2,-1.256231815E-1,9.772287369E0
1.516965108E1,6.520441920E-2,-1.256231815E-1,9.762716293E0
1.521965108E1,7.058826834E-2,-1.112662554E-1,9.777072906E0
1.526965108E1,7.477571070E-2,-1.208375469E-1,9.753145218E0
1.531965108E1,7.477571070E-2,-1.208375469E-1,9.767501831E0
1.536965108E1,8.015955985E-2,-1.064806059E-1,9.767501831E0
1.541965108E1,8.494520187E-2,-1.112662554E-1,9.762716293E0
1.546965108E1,6.580262631E-2,-1.016949639E-1,9.767501831E0
1.551965108E1,7.537391037E-2,-1.064806059E-1,9.767501831E0
1.556965108E1,6.520441920E-2,-1.160518974E-1,9.748359680E0
1.561965108E1,8.434699476E-2,-1.160518974E-1,9.757930756E0
1.566965108E1,7.058826834E-2,-1.160518974E-1,9.777072906E0
1.571965108E1,7.537391037E-2,-1.112662554E-1,9.767501831E0
1.576965108E1,8.015955985E-2,-1.160518974E-1,9.762716293E0
1.581965108E1,7.956135273E-2,-1.304088384E-1,9.762716293E0
1.586965108E1,7.537391037E-2,-1.118644550E-1,9.781859398E0
1.591965108E1,7.537391037E-2,-1.016949639E-1,9.762716293E0
1.596965108E1,7.058826834E-2,-1.064806059E-1,9.781859398E0
1.601965108E1,7.956135273E-2,-1.208375469E-1,9.767501831E0
1.606965108E1,8.015955985E-2,-1.256231815E-1,9.777072906E0
1.611965108E1,7.058826834E-2,-1.160518974E-1,9.757930756E0
1.616965108E1,7.477571070E-2,-1.160518974E-1,9.753145218E0
1.621965108E1,7.058826834E-2,-1.112662554E-1,9.777072906E0
1.626965108E1,6.520441920E-2,-1.208375469E-1,9.772287369E0
1.631965108E1,6.999006122E-2,-1.256231815E-1,9.748359680E0
1.636965108E1,7.537391037E-2,-1.064806059E-1,9.772287369E0
1.641965108E1,6.999006122E-2,-1.256231815E-1,9.772287369E0
1.646965108E1,7.058826834E-2,-1.016949639E-1,9.767501831E0
1.651965108E1,6.580262631E-2,-1.016949639E-1,9.772287369E0
1.656965108E1,7.477571070E-2,-1.160518974E-1,9.772287369E0
1.661965108E1,6.999006122E-2,-1.208375469E-1,9.757930756E0
1.666965108E1,7.477571070E-2,-1.208375469E-1,9.757930756E0
1.671965108E1,7.477571070E-2,-1.304088384E-1,9.781859398E0
1.676965108E1,8.015955985E-2,-1.064806059E-1,9.767501831E0
1.681965108E1,7.537391037E-2,-1.208375469E-1,9.767501831E0
1.686965108E1,6.999006122E-2,-1.256231815E-1,9.762716293E0
1.691965108E1,7.058826834E-2,-1.112662554E-1,9.762716293E0
1.696965108E1,7.537391037E-2,-1.064806059E-1,9.762716293E0
1.701965108E1,7.058826834E-2,-1.160518974E-1,9.767501831E0
1.706965108E1,7.537391037E-2,-1.160518974E-1,9.762716293E0
1.711965108E1,7.537391037E-2,-1.112662554E-1,9.772287369E0
1.716965108E1,7.058826834E-2,-1.208375469E-1,9.767501831E0
1.721965108E1,7.058826834E-2,-1.160518974E-1,9.781859398E0
1.726965108E1,8.015955985E-2,-1.208375469E-1,9.772287369E0
1.731965108E1,6.580262631E-2,-1.112662554E-1,9.781859398E0
1.736965108E1,8.494520187E-2,-1.112662554E-1,9.762716293E0
1.741965108E1,7.477571070E-2,-1.112662554E-1,9.762716293E0
1.746965108E1,7.956135273E-2,-1.208375469E-1,9.772287369E0
1.751965108E1,7.537391037E-2,-1.064806059E-1,9.767501831E0
1.756965108E1,7.058826834E-2,-1.064806059E-1,9.777072906E0
1.761965108E1,8.434699476E-2,-1.256231815E-1,9.753145218E0
1.766965108E1,6.580262631E-2,-1.112662554E-1,9.772287369E0
1.771965108E1,8.015955985E-2,-1.160518974E-1,9.772287369E0
1.776965108E1,7.058826834E-2,-1.208375469E-1,9.767501831E0
1.781965108E1,7.537391037E-2,-1.064806059E-1,9.781859398E0
1.786965108E1,7.058826834E-2,-1.016949639E-1,9.757930756E0
1.791965108E1,8.015955985E-2,-1.064806059E-1,9.757930756E0
1.796965108E1,6.580262631E-2,-1.016949639E-1,9.762716293E0
1.801965108E1,8.494520187E-2,-1.112662554E-1,9.772287369E0
1.806965108E1,8.015955985E-2,-1.160518974E-1,9.781859398E0
1.811965108E1,7.058826834E-2,-9.690931439E-2,9.762716293E0
1.816965108E1,9.451649338E-2,-1.022931710E-1,9.777072906E0
1.821965108E1,7.058826834E-2,-1.112662554E-1,9.772287369E0
1.826965108E1,7.537391037E-2,-1.160518974E-1,9.762716293E0
1.831965108E1,7.537391037E-2,-1.112662554E-1,9.748359680E0
1.836965108E1,8.494520187E-2,-1.112662554E-1,9.767501831E0
1.841965108E1,6.580262631E-2,-1.064806059E-1,9.767501831E0
1.846965108E1,7.537391037E-2,-1.064806059E-1,9.781859398E0
1.851965108E1,7.956135273E-2,-1.064806059E-1,9.757930756E0
1.856965108E1,7.058826834E-2,-1.208375469E-1,9.781859398E0
1.861965108E1,8.434699476E-2,-1.064806059E-1,9.753145218E0
1.866965108E1,7.537391037E-2,-1.112662554E-1,9.772287369E0
1.871965108E1,6.999006122E-2,-1.112662554E-1,9.767501831E0
1.876965108E1,7.537391037E-2,-1.208375469E-1,9.762716293E0
1.881965108E1,7.058826834E-2,-9.690931439E-2,9.757930756E0
1.886965108E1,7.477571070E-2,-1.304088384E-1,9.772287369E0
1.891965108E1,8.434699476E-2,-1.064806059E-1,9.753145218E0
1.896965108E1,7.956135273E-2,-1.256231815E-1,9.757930756E0
1.901965108E1,7.058826834E-2,-1.016949639E-1,9.777072906E0
1.906965108E1,8.015955985E-2,-1.064806059E-1,9.781859398E0
1.911965108E1,7.956135273E-2,-1.304088384E-1,9.743574142E0
1.916965108E1,9.451649338E-2,-1.016949639E-1,9.767501831E0
1.921965108E1,7.477571070E-2,-1.256231815E-1,9.753145218E0
1.926965108E1,8.973085135E-2,-1.160518974E-1,9.762716293E0
1.931965108E1,9.930214286E-2,-1.214357466E-1,9.767501831E0
1.936965108E1,5.563312769E-2,-1.160518974E-1,9.757930756E0
1.941965108E1,6.999006122E-2,-1.208375469E-1,9.757930756E0
1.946965108E1,7.058826834E-2,-1.016949639E-1,9.772287369E0
1.951965108E1,8.015955985E-2,-1.064806059E-1,9.767501831E0
1.956965108E1,8.015955985E-2,-1.064806059E-1,9.767501831E0
1.961965108E1,6.520441920E-2,-1.160518974E-1,9.757930756E0
1.966965108E1,7.477571070E-2,-1.160518974E-1,9.743574142E0
1.971965108E1,6.520441920E-2,-1.112662554E-1,9.757930756E0
1.976965108E1,8.973085135E-2,-1.016949639E-1,9.757930756E0
